Timestamp,Host,Error_Type,Severity,Message
Sep 15 07:58:54,rpki.0i1.eu,no_route_to_host,LOW,Sep 15 07:58:54 rpki-client: https://rpki.0i1.eu/rrdp/notification.xml (2a03:4000:20:b7::106): connect: No route to host
Sep 15 08:05:39,sakuya.nat.moe,no_route_to_host,LOW,Sep 15 08:05:39 rpki-client: https://sakuya.nat.moe/rrdp/notification.xml (2602:feda:4:dead:216:3eff:fec7:efab): connect: No route to host
Sep 15 07:58:48,repo.kagl.me,cert_expired,HIGH,Sep 15 07:58:48 rpki-client: https://repo.kagl.me/rpki/notification.xml (104.37.40.237): TLS handshake: certificate verification failed: certificate has expired
Sep 15 08:03:10,rpki-repo.as207960.net,cert_expired,HIGH,Sep 15 08:03:10 rpki-client: rpki-repo.as207960.net/repo/rpki_ca_d0f2db99fe1d4b36b9301c821220fe3a/1/83027A47466EFA0ED200A7CA6EE9CF229F431C1B.cer: certificate has expired
Sep 15 08:03:40,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:03:40 rpki-client: rsync.paas.rpki.ripe.net/repository/1a3bb93f-98a4-4c7e-a0e1-8057a4f086c9/0/2AFACA7F316DBE0CFF394F9D5952E52992F185F1.cer: certificate has expired
Sep 15 08:03:48,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:03:48 rpki-client: rsync.paas.rpki.ripe.net/repository/e30de84b-400a-4fd1-ab8a-e7616e245b49/0/5EB2E5DAD0C6996D0A80A7B90F3A2AA60FB1A7AC.cer: certificate has expired
Sep 15 08:04:00,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:04:00 rpki-client: rsync.paas.rpki.ripe.net/repository/69bbfdcf-35cd-4524-8ffa-3005b0b69a29/0/58E92F2C3859C2D0EF322A871688CB22928E2F3E.cer: certificate has expired
Sep 15 08:04:06,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:04:06 rpki-client: rsync.paas.rpki.ripe.net/repository/89270f6c-a3fe-4299-b079-309ed97f3824/0/AB1340E329CCD96287934FA706670D31B73C04E8.cer: certificate has expired
Sep 15 08:04:12,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:04:12 rpki-client: rsync.paas.rpki.ripe.net/repository/84d51810-1987-4701-8f1f-8425111964f4/0/76423146648CF6AC626CCD0654C5B50EBEA94787.cer: certificate has expired
Sep 15 08:04:13,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:04:13 rpki-client: rsync.paas.rpki.ripe.net/repository/84d51810-1987-4701-8f1f-8425111964f4/0/CC2B47BFD397E66019550C83BF1B56353173A0CB.cer: certificate has expired
Sep 15 08:04:13,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:04:13 rpki-client: rsync.paas.rpki.ripe.net/repository/84d51810-1987-4701-8f1f-8425111964f4/0/FBDF5C81A0D6F79C3DFB8B4EDF2966F352606027.cer: certificate has expired
Sep 15 08:04:30,rsync.paas.rpki.ripe.net,cert_expired,HIGH,Sep 15 08:04:30 rpki-client: rsync.paas.rpki.ripe.net/repository/1bf8e977-7278-46cf-abd1-99cd1fd2be4e/1/698CBB9E641A60FE66E1B58C92ACD281637ED767.cer: certificate has expired
Sep 15 08:04:48,krill.accuristechnologies.ca,cert_expired,HIGH,Sep 15 08:04:48 rpki-client: krill.accuristechnologies.ca/repo/Accuris-Technologies/0/8A15107195E63966ABA1997AD31382979C75F736.cer: certificate has expired
Sep 15 08:04:48,rpki-rps.arin.net,cert_expired,HIGH,Sep 15 08:04:48 rpki-client: rpki-rps.arin.net/repository/8a848adf850d063e0185755c91be3f9d/1/67DAC6BFE8CF4F99CC7DE476F2D7C11DD253702A.cer: certificate has expired
Sep 15 08:04:49,cloudie-repo.rpki.app,cert_expired,HIGH,Sep 15 08:04:49 rpki-client: cloudie-repo.rpki.app/repo/CLOUDIE-RPKI/2/EF426F94C58940B7071B544A524D3C9EA3456B00.cer: certificate has expired
Sep 15 08:04:58,rpki.afrinic.net,cert_expired,HIGH,Sep 15 08:04:58 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/7F4A98EA6E0511E89C0D6E4BF8AEA228/E7D0CBD2781B11F08003B2BADAE4EC9C.roa: certificate has expired
Sep 15 08:05:05,rpki.afrinic.net,cert_expired,HIGH,Sep 15 08:05:05 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/7620347874CA11EF958D65B3762E951A.roa: certificate has expired
Sep 15 08:05:08,rpki.afrinic.net,cert_expired,HIGH,Sep 15 08:05:08 rpki-client: rpki.afrinic.net/repository/member_repository/F368F2D0/92F86E1C6E0511E8A1B5854BF8AEA228/494BA388726D11EF9E1FEA6B762E951A.roa: certificate has expired
Sep 15 08:05:20,rpki-repo.as207960.net,cert_expired,HIGH,Sep 15 08:05:20 rpki-client: rpki-repo.as207960.net/repo/rpki_ca_d0f2db99fe1d4b36b9301c821220fe3a/0/E42882C5C372E03CCD5EA87BB1B6FFEF1FF1BFF5.cer: certificate has expired
